APACHE,0.3,1
APACHE,0.6,9
APACHE,0.5,1
APACHE,0.6,1
APACHE,0.3,1
APACHE,1.2,1
APACHE,5,9
APACHE,3.5,1
APACHE,1.2,9
APACHE,0.6,1
APACHE,1.3,1
APACHE,0.4,1
APACHE,4.9,0
APACHE,0.6,1
APACHE,0.3,1
COCHISE,1.1,1
COCHISE,0.7,1
COCHISE,1,9
COCHISE,0.6,1
COCHISE,2.1,1
COCHISE,0.5,0
COCHISE,0.4,1
COCHISE,0.6,1
COCHISE,0.3,1
COCHISE,0.4,1
COCHISE,0.5,9
COCHISE,1.9,9
COCHISE,3.2,1
COCHISE,0.8,1
COCHISE,0.5,1
COCHISE,0.5,9
COCHISE,1.9,1
COCHISE,2.2,1
COCHISE,1.5,1
COCHISE,2.9,1
COCHISE,3.6,1
COCHISE,5.8,1
COCHISE,11.1,1
COCHISE,2.2,1
COCHISE,0.4,1
COCHISE,3.7,1
COCHISE,1.8,1
COCHISE,0.2,1
COCHISE,0.4,1
COCHISE,0.2,1
COCHISE,0.1,1
COCHISE,0,9
COCHISE,0.1,1
COCHISE,0.6,1
COCHISE,2.4,1
COCHISE,2,9
COCHISE,4,1
COCHISE,0.7,1
COCHISE,1.2,1
COCONINO,2.1,0
COCONINO,0.2,1
COCONINO,0.1,9
COCONINO,0.2,1
COCONINO,0.6,1
COCONINO,0.8,1
COCONINO,0.7,1
COCONINO,3.8,1
COCONINO,1.8,1
COCONINO,3.8,1
COCONINO,3.2,1
COCONINO,1.1,9
COCONINO,3.7,1
COCONINO,4.4,1
COCONINO,2.1,1
COCONINO,3.6,1
COCONINO,3,1
COCONINO,0.3,1
COCONINO,1.6,1
COCONINO,9.6,1
COCONINO,0.6,1
COCONINO,1.7,1
COCONINO,0.7,9
COCONINO,0.9,1
COCONINO,12.9,1
COCONINO,0.6,1
COCONINO,7.7,1
COCONINO,1.2,1
COCONINO,8.3,1
COCONINO,1.2,1
COCONINO,4.5,1
COCONINO,0.7,1
COCONINO,2.6,1
COCONINO,3.3,1
COCONINO,1.1,1
COCONINO,3.7,1
COCONINO,2.1,1
COCONINO,6.7,1
COCONINO,1,1
COCONINO,1.4,9
COCONINO,2.4,1
COCONINO,0.4,1
COCONINO,3.4,1
COCONINO,4,1
COCONINO,1.5,1
COCONINO,0.5,1
COCONINO,0.5,1
COCONINO,0.2,1
COCONINO,0.3,1
COCONINO,0.7,1
COCONINO,0.5,1
COCONINO,0.5,1
COCONINO,2.3,0
COCONINO,0.7,1
COCONINO,0,9
COCONINO,0.1,1
COCONINO,1.1,1
COCONINO,0.2,1
COCONINO,0.1,1
COCONINO,0.6,1
COCONINO,1.4,1
COCONINO,0.1,1
COCONINO,1.9,1
COCONINO,1.5,1
COCONINO,0.8,1
COCONINO,1.1,1
COCONINO,1.1,1
COCONINO,0.2,9
COCONINO,1.8,0
COCONINO,0.8,1
COCONINO,1,1
COCONINO,3.7,0
COCONINO,0.6,1
COCONINO,0.5,1
COCONINO,0.9,1
COCONINO,13.5,1
COCONINO,0.4,1
COCONINO,0.4,1
COCONINO,0.8,1
COCONINO,0.3,1
COCONINO,0.1,1
COCONINO,0.2,1
COCONINO,1.4,1
COCONINO,0.2,1
COCONINO,0.9,9
COCONINO,0,1
COCONINO,0.5,1
COCONINO,0.5,1
